"Niles, Jacquin C",0
"Nocera, Daniel G.",22
"Nolan, Elizabeth M",0
"O'Connor, Sarah E",0
"Ogawa, Masaaki",1
"Oliva, Aude",19
"Olurinde, Mobolaji Oluyemisi",0
"Parsons, Andrew Thomas",0
"Pentelute, Bradley Lether",0
"Perkell, Joseph S",0
"Peterson, Laura Beth",0
"Petravicz, Jeremy C",0
"Peyton, Shelly R",0
"Pluth, Michael",0
"Powers, David C",0
"Pritchett, Dominique L",0
"Rabb, Jennifer D",0
"Radosevich, Alexander T",0
"Rajbhandary, Uttam L",1
"Ramamoorthi, Kartik",1
"Redcay, Elizabeth Gay",0
"Ribbeck, Katharina",12
"Rosen, Bruce R",0
"Rosenholtz, Ruth",2
"Royzen, Maksim",1
"Runyan, Caroline Anne",0
"Saeij, Jeroen",15
"Samson, Leona D",0
"Sarpeshkar, Rahul",19
"Sasisekharan, Ram",29
"Sather, Aaron Christopher",0
"Sauer, Robert T",0
"Saxe, Rebecca R",0
"Saygin, Zeynep",0
"Sazama, Graham Thomas",0
"Schafer, Robert John",0
"Schrock, Richard R",0
"Schwartz, Thomas U",0
"Schweitzer, Lawrence",0
"Sharp, Phillip A",1
"Shattuck-Hufnagel, Stefanie",1
"Shepherd, Jason Dennis",2
"Shih, Crystal",0
"Siegle, Joshua H",0
"Siegwart, Daniel John",0
"Silverman, Julie Michelle",0
"Sinha, Pawan",9
"Sletten, Ellen May",0
"Smith, Kyle",0
"So, Peter T.",0
"Sohn, Jungsan",1
"Song, Gang",3
"Sorger, Peter Karl",0
"Soto-Feliciano, Yadira Marie",0
"Spokoyny, Alexander Michael",0
"Srinivasan, Mandayam A",0
"Stains, Cliff",0
"Stephan, Matthias",0
"Stephanopoulos, Gregory",27
"Stevens, Kelly R",0
"Stubbe, Joanne",0
"Sur, Mriganka",22
"Swager, Timothy M",0
"Sy, Jay Christopher",0
"Sydlik, Stefanie Arlene",3
"Szeto, Gregory",0
"Szolovits, Peter",17
"Taliaferro, Jefferson Matthew",0
